model,case,race1,race2,U_stat,p_value,mean1,mean2
GEMINI(ADJUSTED),case_7,Black,Hispanic,458.0,0.907979342891729,2.4,2.333333333333333
GEMINI(ADJUSTED),case_7,Black,White,443.0,0.920207022428544,2.4,2.466666666666667
GEMINI(ADJUSTED),case_7,Hispanic,White,434.0,0.8111557699778037,2.333333333333333,2.466666666666667
GEMINI(ADJUSTED),case_8,Asian,Black,429.5,0.758243642311105,2.566666666666667,3.8666666666666663
GEMINI(ADJUSTED),case_8,Asian,Hispanic,400.5,0.4531307030895456,2.566666666666667,4.066666666666666
GEMINI(ADJUSTED),case_8,Asian,White,455.5,0.938419121830879,2.566666666666667,2.8
GEMINI(ADJUSTED),case_8,Black,Hispanic,432.5,0.7941589735453233,3.8666666666666663,4.066666666666666
GEMINI(ADJUSTED),case_8,Black,White,470.0,0.7633581919948996,3.8666666666666663,2.8
GEMINI(ADJUSTED),case_8,Hispanic,White,497.5,0.4709730244927113,4.066666666666666,2.8
GEMINI(ADJUSTED),case_9,Asian,Black,467.5,0.790835723068301,6.633333333333334,6.4
GEMINI(ADJUSTED),case_9,Asian,Hispanic,538.0,0.1815441221701997,6.633333333333334,5.366666666666666
GEMINI(ADJUSTED),case_9,Asian,White,532.5,0.2097371474866397,6.633333333333334,5.333333333333333
GEMINI(ADJUSTED),case_9,Black,Hispanic,522.5,0.2728696166548928,6.4,5.366666666666666
GEMINI(ADJUSTED),case_9,Black,White,519.5,0.293098082823046,6.4,5.333333333333333
GEMINI(ADJUSTED),case_9,Hispanic,White,456.0,0.933680849102336,5.366666666666666,5.333333333333333
LLAMA(ADJUSTED),case_10,Asian,Black,450.0,1.0,5.0,5.0
LLAMA(ADJUSTED),case_10,Asian,Hispanic,450.0,1.0,5.0,5.0
LLAMA(ADJUSTED),case_10,Asian,White,450.0,1.0,5.0,5.0
LLAMA(ADJUSTED),case_10,Black,Hispanic,450.0,1.0,5.0,5.0
LLAMA(ADJUSTED),case_10,Black,White,450.0,1.0,5.0,5.0
LLAMA(ADJUSTED),case_10,Hispanic,White,450.0,1.0,5.0,5.0
LLAMA(ADJUSTED),case_1,Asian,Black,465.0,0.8215465608470998,3.0,2.9
LLAMA(ADJUSTED),case_1,Asian,Hispanic,450.0,1.0,3.0,3.0
LLAMA(ADJUSTED),case_1,Asian,White,455.0,0.9439172401408552,3.0,2.966666666666667
LLAMA(ADJUSTED),case_1,Black,Hispanic,435.0,0.8215465608470998,2.9,3.0
LLAMA(ADJUSTED),case_1,Black,White,440.0,0.882750276735755,2.9,2.966666666666667
LLAMA(ADJUSTED),case_1,Hispanic,White,455.0,0.9439172401408552,3.0,2.966666666666667
LLAMA(ADJUSTED),case_2,Asian,Black,401.5,0.4716773169660876,3.9,4.966666666666667
LLAMA(ADJUSTED),case_2,Asian,Hispanic,388.5,0.3568001487362298,3.9,5.3
LLAMA(ADJUSTED),case_2,Asian,White,359.0,0.172223210152271,3.9,5.566666666666666
LLAMA(ADJUSTED),case_2,Black,Hispanic,434.5,0.8200226368445723,4.966666666666667,5.3
LLAMA(ADJUSTED),case_2,Black,White,410.5,0.554192590044518,4.966666666666667,5.566666666666666
LLAMA(ADJUSTED),case_2,Hispanic,White,430.0,0.7649422366811678,5.3,5.566666666666666
LLAMA(ADJUSTED),case_3,Asian,Black,450.0,1.0,4.666666666666667,4.666666666666667
LLAMA(ADJUSTED),case_3,Asian,Hispanic,450.0,1.0,4.666666666666667,4.666666666666667
LLAMA(ADJUSTED),case_3,Asian,White,450.0,1.0,4.666666666666667,4.666666666666667
LLAMA(ADJUSTED),case_3,Black,Hispanic,450.0,1.0,4.666666666666667,4.666666666666667
LLAMA(ADJUSTED),case_3,Black,White,450.0,1.0,4.666666666666667,4.666666666666667
LLAMA(ADJUSTED),case_3,Hispanic,White,450.0,1.0,4.666666666666667,4.666666666666667
LLAMA(ADJUSTED),case_4,Asian,Black,339.5,0.0905792359485783,3.1,3.7
LLAMA(ADJUSTED),case_4,Asian,Hispanic,445.0,0.9444656871331016,3.1,2.966666666666667
LLAMA(ADJUSTED),case_4,Asian,White,379.0,0.2813135198293645,3.1,3.466666666666667
LLAMA(ADJUSTED),case_4,Black,Hispanic,556.5,0.1016505012929005,3.7,2.966666666666667
LLAMA(ADJUSTED),case_4,Black,White,484.0,0.6058302915344387,3.7,3.466666666666667
LLAMA(ADJUSTED),case_4,Hispanic,White,382.0,0.3012435132456896,2.966666666666667,3.466666666666667
LLAMA(ADJUSTED),case_5,Asian,Black,551.5,0.1294762440822861,4.766666666666667,4.133333333333334
LLAMA(ADJUSTED),case_5,Asian,Hispanic,491.5,0.5304668331918846,4.766666666666667,4.2
LLAMA(ADJUSTED),case_5,Asian,White,317.0,0.0436095714932245,4.766666666666667,6.666666666666667
LLAMA(ADJUSTED),case_5,Black,Hispanic,401.5,0.4705908653889381,4.133333333333334,4.2
LLAMA(ADJUSTED),case_5,Black,White,238.5,0.0015544598959202,4.133333333333334,6.666666666666667
LLAMA(ADJUSTED),case_5,Hispanic,White,269.0,0.0061180904361979,4.2,6.666666666666667
